"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5302","Номер нового заказа появляется в блоке 'В работе'","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","5238","Номер нового заказа появляется в блоке 'В работе'","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","1692","Модальное окно закрывается по крестику","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
"","1011","Переход по клику на Лента заказов","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
"","963","Счётчик ингредиента увеличивается после добавления в заказ","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
"","1572","Переход по клику на Конструктор","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
"","7753","Счётчик 'Выполнено за сегодня' увеличивается после создания нового заказа","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","1054","Клик на ингредиент открывает модальное окно","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
"","7772","Счётчик 'Выполнено за всё время' увеличивается после создания нового заказа","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","6636","Счётчик 'Выполнено за всё время' увеличивается после создания нового заказа","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","1545","Переход по клику на Конструктор","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
"","1055","Счётчик ингредиента увеличивается после добавления в заказ","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
"","2881","Модальное окно закрывается по крестику","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
"","1050","Переход по клику на Лента заказов","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
"","6683","Счётчик 'Выполнено за сегодня' увеличивается после создания нового заказа","tests","2026-03-22","passed","2026-03-22","TestOrderFeed","test_order_feed","",""
"","1031","Клик на ингредиент открывает модальное окно","tests","2026-03-22","passed","2026-03-22","TestMainFunctions","test_main_functions","",""
